2299	740 585 17 2 817
2302	592 31
2304	820 590
2305	156 142
2306	740 100 415
2307	156 3
2308	740 752 615 503
2309	740 923 806
2310	740 100 140 3 2 156 920
2312	520 240 741 590 575
2313	416 1 565 740 220 32 2 856
2314	400 740 17 503 240
2316	740 838 741 390 900 140
2317	617 142 746 140
2318	2 861 96
2319	520 175
2320	740 615 503
2321	645 202 1 820
2322	740 690 60 550
2323	740 176 2 861
2324	740 585 17
2325	156 31
2327	740 405 590
2328	151 97
2329	31 32 171 745
2332	565 31 416 140 220 1
2335	791 575 413 0 740 222 176 60 920
2336	865 32 0 226 32 700 605
2337	151 55 240 235
2338	390 920 322 803 2 820
2339	504 350 240 741 60 920
2340	892 590
2342	520 70 219 2 861 32 520 919 140
2343	592 741 60 920
2344	151 390 590 741 60 920
2345	740 798 231 60 820
2346	617 243 31 700 861
2347	740 388 235
2348	740 772 240
2349	226 32 60 891
2350	924 132 2 861
2351	407 5
2352	360 268 252 326
2353	390 16
2354	740 176 390 90 390
2355	390 920 323
2356	400 740 176 140
2359	527 555 33 706 235 2 817
2363	740 615 703
2364	740 927 33 817
2365	740 100 240 31
2366	740 455 2 368 260
2367	167 705
2368	821 1 480 850 595 391
2372	151 61
2373	740 337 484 31 60 891
2375	740 32 840 2 768
2377	740 760 1 220 415 798 803
2378	820 297 861
2380	90 740 240 235 590 645 104
2381	740 904 220 32 2 142
2382	740 690 60 550
2385	740 923 33 705 60 692
2386	390 3 2 820
2388	740 637 240 2 861
2389	520 72 233 740 798 2 861 832
2390	298 350 761 32 60 572
2391	151 219
2393	368 821 55 31 2 31 892
2394	400 740 585 838 240
2398	90 740 35 171 61 31 2 69
2401	740 717 220 415
2402	151 61 0 156 2 252 692
2403	520 70 220 32 240 838 741 958 220 278
2405	790 0 400 296 350 892 632 32
2406	740 460 503
2407	156 3 877
2408	390 3
2409	621 390 531 2 820
2410	740 690 435 255 240 741 906
2411	400 740 100 140 3
2413	740 32 840 740 455 861
2414	520 240 31 1 740 121
2417	161 55 240 220 32 2 820
2418	390 4 2 817
2420	520 220 415 240
2422	740 407 590 31 752 33 705 220 415 798 2 861
2423	241 832 740 176
2426	520 233
2427	740 798 220 60 820
2428	226 240 235 60 692
2429	390 4 741 617
2431	817 900 241 368 260
2432	527 550 798 220
2434	740 639 240
2435	740 388 2 820
2436	740 760 335 803
2437	527 555
2439	740 83 235 240
2440	740 61 877
2441	520 220 3
2442	740 384 741 859
2443	154 806 474 1 2 820
2445	405 61 33 705 236
2448	740 390 590 32 60 201
2449	900 4
2450	390 4 2 861
2451	520 400 350 31 741 762
2452	740 840 13
2453	390 4 2 817
2454	390 4 260
2455	165 741 31 60 692
2457	740 760 19 2 817
2458	740 752 615 503
2460	740 460 510
2461	32 820 140 5
2462	740 49
2463	450 617 33 0 740 460 510 741 252 791
2464	740 100 415 176 2 820
2465	749 479
2466	740 717
2467	400 740 840 13 240
2468	400 520 233 803
2470	740 455 235 798 742 460 353
2471	740 861 125
2472	390 5
2473	520 33 705 233 240 2 610 125 32
2474	400 740 840 13 240
2475	740 760 260 0 220 255 220 63 315
2476	740 803 235
2478	520 33 705 233 235 60 820
2479	740 840 13
2480	100 904 717 220 415 806 742
2481	407 63 845 240 798
2482	390 5 2 455 511
2484	679 740 233 240
2485	520 220 368 817
2486	740 32 840 33 705 798
2487	740 255
2488	1 740 923 33 705
2489	740 390 590 2 817
2490	740 690 435 255 220 32 2 717 820
2493	740 100 1 440 742 60 920
2495	740 645 3 741 70 255
2498	740 760
2499	740 17 503
2506	520 220 240 803 2 820
2507	740 460 510 220 65 393
2509	390 15 2 861
2511	740 32 840
2512	520 72 921
2513	520 220 803 741 262
2514	740 803
2516	520 220 3 741 60 920
2517	400 125 745
